id,customer_id,amount,status
1,3123,285.26,PAID
2,4576,177.68,PENDING
3,1798,90.12,PAID
4,2132,122.22,CANCELLED
5,816,37.84,CANCELLED
6,2695,97.91,PAID
7,443,31.7,PAID
8,3141,30.76,CANCELLED
9,143,159.65,PAID
10,4288,58.8,PAID
11,1411,51.16,CANCELLED
12,4474,113.77,PAID
13,535,49.45,PAID
14,1717,70.52,PAID
15,3365,258.09,PAID
16,1033,22.31,PAID
17,3343,230.92,PAID
18,1411,494.05,PAID
19,4501,24.08,PAID
20,1173,27.82,PAID
21,889,129.71,PENDING
22,3339,91.78,PAID
23,4518,43.76,PAID
24,1642,202.71,CANCELLED
25,472,62.64,PAID
26,2941,103.38,PAID
27,547,142.57,PAID
28,4727,121.51,PAID
29,3598,85.16,PAID
30,2826,147.32,CANCELLED
31,3724,19.12,PAID
32,364,177.03,CANCELLED
33,2167,66.47,PAID
34,3310,134.88,PAID
35,546,82.39,PAID
36,3241,51.31,PENDING
37,4730,77.52,PAID
38,1937,105.71,PENDING
39,963,118.68,PAID
40,3006,107.09,PENDING
41,3807,48.16,PAID
42,883,34.48,PAID
43,3841,37.65,PENDING
44,871,69.95,PENDING
45,4612,133.43,PAID
46,2986,140.05,PAID
47,866,53.61,PAID
48,4310,85.51,PAID
49,3204,21.09,PAID
50,2898,62.54,PAID
51,2245,53.29,PAID
52,19,43.08,PAID
53,642,92.63,PAID
54,3084,263.93,PAID
55,330,89.09,PENDING
56,866,186.16,PAID
57,774,159.62,PAID
58,4488,55.63,PAID
59,4733,148.21,PAID
60,2355,274.15,PAID
61,3339,28.11,PAID
62,3519,159.47,PAID
63,2943,80.7,PAID
64,2568,48.45,PAID
65,1675,113.48,PAID
66,2684,115.73,PAID
67,3381,366.95,CANCELLED
68,740,50.11,PAID
69,1546,88.99,PENDING
70,4565,87.75,PAID
71,2260,49.84,PENDING
72,1136,38.39,PAID
73,874,61.39,PAID
74,4556,78.46,PAID
75,2301,36.13,PAID
76,752,165.88,PAID
77,854,124.18,PAID
78,3733,28.87,PAID
79,2284,60.5,PAID
80,1330,94.1,CANCELLED
81,478,142.31,PENDING
82,2727,78.94,PAID
83,3092,136.69,CANCELLED
84,4231,108.86,PAID
85,4506,148.2,CANCELLED
86,1270,44.55,PENDING
87,4182,126.92,PAID
88,2604,80.95,PAID
89,1470,182.49,PAID
90,378,43.69,PENDING
91,1681,110.36,PENDING
92,242,89.54,PAID
93,920,74.68,PAID
94,70,62.81,PAID
95,3925,66.65,CANCELLED
96,2087,251.49,PAID
97,2008,73.02,PAID
98,801,239.19,PAID
99,2780,74.63,PENDING
100,4921,96.67,CANCELLED
101,756,85.16,PAID
102,1996,248.46,PAID
103,1322,153.34,PENDING
104,2331,58.13,PAID
105,110,22.22,PAID
106,1017,59.31,PAID
107,3866,205.45,PAID
108,25,30.77,PAID
109,4939,23.35,PAID
110,2839,49.02,PAID
111,738,35.88,PENDING
112,180,41.25,PAID
113,232,13.15,PENDING
114,1918,97.95,CANCELLED
115,343,112.68,PENDING
116,4573,72.75,PAID
117,2624,22.55,PAID
118,455,49.28,PAID
119,4385,110.12,PENDING
120,4626,121.13,CANCELLED
121,2277,13.79,PAID
122,596,87.14,PENDING
123,3875,45.92,PAID
124,4531,82.88,PENDING
125,4978,24.47,PAID
126,4498,16.45,PAID
127,2670,71.25,PAID
128,2136,76.52,CANCELLED
129,3965,39.49,PAID
130,1566,225.49,PAID
